company_id,company_name,industry,headquarters_region,dfw_presence,strategic_summary,tech_stack_themes,growth_signals,risk_factors,sponsorship_context,priority_tier,last_updated,business_model,major_business_units,current_strategic_themes,technology_themes,ai_data_cloud_security_themes,recent_projects_or_initiatives,known_platforms_or_tools,why_they_hire_tech_roles,common_role_families,sponsorship_signal_summary,source_urls
C001,JPMorgan Chase,Finance + Technology,New York / DFW,Plano / Dallas,JPMorgan Chase (Plano / Dallas): Digital banking; AI productivity; platform modernization; risk and compliance automation. DFW presence supports technology hiring in target role families.,Cloud migration;microservices;data platforms;API banking;DevSecOps,Digital banking; AI productivity; platform modernization; risk and compliance automation,Role location verification; competitive hiring; sponsorship varies by team,DFW mega tech center; >800 open positions reported June 2026; validate sponsorship via DOL/USCIS,Tier 1 - attack first,2026-07-04,"Regulated financial services revenue from lending, payments, trading, and wealth management with technology as core delivery channel.",Consumer banking; commercial banking; markets; wealth/asset management; corporate technology,Digital banking; AI productivity; platform modernization; risk and compliance automation,Cloud migration; microservices; data platforms; API banking; DevSecOps,Responsible AI; fraud analytics; IAM; SIEM; model risk governance,AI productivity platform; Plano technology hub; Digital banking modernization,AWS/Azure; Kubernetes; Python; SQL; Splunk; ServiceNow,"Scale regulated digital products, automate operations, and maintain security controls across global platforms.",Technology Analyst; Software Engineer; Cloud Security; Data Engineer; AI/ML Engineer,DFW mega tech center; >800 open positions reported June 2026; validate sponsorship via DOL/USCIS H-1B employer signal confidence 4/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://careers.jpmorgan.com,https://www.jpmorganchase.com/newsroom,https://careers.jpmorgan.com/about/technology,https://www.dol.gov/agencies/eta/foreign-labor"
C002,Goldman Sachs,Finance + Engineering,New York / DFW,Dallas,Goldman Sachs (Dallas): Digital banking; AI productivity; platform modernization; risk and compliance automation. DFW presence supports technology hiring in target role families.,Cloud migration;microservices;data platforms;API banking;DevSecOps,Digital banking; AI productivity; platform modernization; risk and compliance automation,Role location verification; competitive hiring; sponsorship varies by team,Major Dallas campus; large DFW expansion; sponsor history must be verified in DOL/USCIS per role,Tier 1 - attack first,2026-07-04,"Regulated financial services revenue from lending, payments, trading, and wealth management with technology as core delivery channel.",Consumer banking; commercial banking; markets; wealth/asset management; corporate technology,Digital banking; AI productivity; platform modernization; risk and compliance automation,Cloud migration; microservices; data platforms; API banking; DevSecOps,Responsible AI; fraud analytics; IAM; SIEM; model risk governance,Engineering at scale; Dallas office expansion; Machine learning and AI,AWS/Azure; Kubernetes; Python; SQL; Splunk; ServiceNow,"Scale regulated digital products, automate operations, and maintain security controls across global platforms.",Technology Analyst; Software Engineer; Cloud Security; Data Engineer; AI/ML Engineer,Major Dallas campus; large DFW expansion; sponsor history must be verified in DOL/USCIS per role H-1B employer signal confidence 4/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://www.goldmansachs.com/careers,https://www.goldmansachs.com/pressroom,https://www.goldmansachs.com/careers/our-firm/engineering,https://www.dol.gov/agencies/eta/foreign-labor"
C003,Bank of America,Finance + Technology,Charlotte / DFW,Dallas,Bank of America (Dallas): Digital banking; AI productivity; platform modernization; risk and compliance automation. DFW presence supports technology hiring in target role families.,Cloud migration;microservices;data platforms;API banking;DevSecOps,Digital banking; AI productivity; platform modernization; risk and compliance automation,Role location verification; competitive hiring; sponsorship varies by team,DFW expansion source; sponsor history must be checked in DOL/USCIS,Tier 1 - attack first,2026-07-04,"Regulated financial services revenue from lending, payments, trading, and wealth management with technology as core delivery channel.",Consumer banking; commercial banking; markets; wealth/asset management; corporate technology,Digital banking; AI productivity; platform modernization; risk and compliance automation,Cloud migration; microservices; data platforms; API banking; DevSecOps,Responsible AI; fraud analytics; IAM; SIEM; model risk governance,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS/Azure; Kubernetes; Python; SQL; Splunk; ServiceNow,"Scale regulated digital products, automate operations, and maintain security controls across global platforms.",Technology Analyst; Software Engineer; Cloud Security; Data Engineer; AI/ML Engineer,DFW expansion source; sponsor history must be checked in DOL/USCIS H-1B employer signal confidence 4/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://careers.bankofamerica.com,https://newsroom.bankofamerica.com,https://careers.bankofamerica.com/en-us/life-at-bank-of-america/technology,https://www.dol.gov/agencies/eta/foreign-labor"
C004,Citi,Finance + Technology Operations,New York / DFW,Irving,Citi (Irving): Digital banking; AI productivity; platform modernization; risk and compliance automation. DFW presence supports technology hiring in target role families.,Cloud migration;microservices;data platforms;API banking;DevSecOps,Digital banking; AI productivity; platform modernization; risk and compliance automation,Role location verification; competitive hiring; sponsorship varies by team,Large Irving campus; finance-tech hiring signal; DOL/USCIS validation required,Tier 1 - attack first,2026-07-04,"Regulated financial services revenue from lending, payments, trading, and wealth management with technology as core delivery channel.",Consumer banking; commercial banking; markets; wealth/asset management; corporate technology,Digital banking; AI productivity; platform modernization; risk and compliance automation,Cloud migration; microservices; data platforms; API banking; DevSecOps,Responsible AI; fraud analytics; IAM; SIEM; model risk governance,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS/Azure; Kubernetes; Python; SQL; Splunk; ServiceNow,"Scale regulated digital products, automate operations, and maintain security controls across global platforms.",Technology Analyst; Software Engineer; Cloud Security; Data Engineer; AI/ML Engineer,Large Irving campus; finance-tech hiring signal; DOL/USCIS validation required H-1B employer signal confidence 4/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://jobs.citi.com,https://www.citigroup.com/global/news,https://jobs.citi.com/technology,https://www.dol.gov/agencies/eta/foreign-labor"
C005,Charles Schwab,Financial Services + Tech,Westlake / DFW,Westlake / DFW,Charles Schwab (Westlake / DFW): Digital banking; AI productivity; platform modernization; risk and compliance automation. DFW presence supports technology hiring in target role families.,Cloud migration;microservices;data platforms;API banking;DevSecOps,Digital banking; AI productivity; platform modernization; risk and compliance automation,Role location verification; competitive hiring; sponsorship varies by team,Texas top H-1B employer list; DFW HQ/large presence,Tier 1 - attack first,2026-07-04,"Regulated financial services revenue from lending, payments, trading, and wealth management with technology as core delivery channel.",Consumer banking; commercial banking; markets; wealth/asset management; corporate technology,Digital banking; AI productivity; platform modernization; risk and compliance automation,Cloud migration; microservices; data platforms; API banking; DevSecOps,Responsible AI; fraud analytics; IAM; SIEM; model risk governance,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS/Azure; Kubernetes; Python; SQL; Splunk; ServiceNow,"Scale regulated digital products, automate operations, and maintain security controls across global platforms.",Technology Analyst; Software Engineer; Cloud Security; Data Engineer; AI/ML Engineer,Texas top H-1B employer list; DFW HQ/large presence H-1B employer signal confidence 5/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://www.schwabjobs.com,https://pressroom.aboutschwab.com,https://www.aboutschwab.com/who-we-are/technology,https://www.dol.gov/agencies/eta/foreign-labor"
C006,Capital One,Finance + Software Engineering,McLean / DFW,Plano,Capital One (Plano): Digital banking; AI productivity; platform modernization; risk and compliance automation. DFW presence supports technology hiring in target role families.,Cloud migration;microservices;data platforms;API banking;DevSecOps,Digital banking; AI productivity; platform modernization; risk and compliance automation,Role location verification; competitive hiring; sponsorship varies by team,Plano top employer; known technology employer; DOL/USCIS verification needed,Tier 1 - attack first,2026-07-04,"Regulated financial services revenue from lending, payments, trading, and wealth management with technology as core delivery channel.",Consumer banking; commercial banking; markets; wealth/asset management; corporate technology,Digital banking; AI productivity; platform modernization; risk and compliance automation,Cloud migration; microservices; data platforms; API banking; DevSecOps,Responsible AI; fraud analytics; IAM; SIEM; model risk governance,Cloud-first banking; ML fraud detection; Plano technology hub,AWS/Azure; Kubernetes; Python; SQL; Splunk; ServiceNow,"Scale regulated digital products, automate operations, and maintain security controls across global platforms.",Technology Analyst; Software Engineer; Cloud Security; Data Engineer; AI/ML Engineer,Plano top employer; known technology employer; DOL/USCIS verification needed H-1B employer signal confidence 4/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://www.capitalonecareers.com,https://www.capitalone.com/about/newsroom/,https://www.capitalone.com/tech/,https://www.dol.gov/agencies/eta/foreign-labor"
C007,Toyota Motor North America,Automotive + Data/Cloud/Security,Plano HQ,Plano,Toyota Motor North America (Plano): Software-defined vehicles; EV platforms; connected mobility; supply chain digitization. DFW presence supports technology hiring in target role families.,Embedded systems;telematics;cloud data platforms;ERP,Software-defined vehicles; EV platforms; connected mobility; supply chain digitization,Role location verification; competitive hiring; sponsorship varies by team,Plano top employer; DOL/USCIS validation needed for sponsor evidence,Tier 1 - attack first,2026-07-04,Vehicle manufacturing and mobility services revenue with growing software-defined vehicle and connected services segments.,Manufacturing; connected services; finance; supply chain; enterprise IT,Software-defined vehicles; EV platforms; connected mobility; supply chain digitization,Embedded systems; telematics; cloud data platforms; ERP,Vehicle cybersecurity; predictive analytics; cloud security; IoT data,Mobility and connected services; Supply chain software; Talent community recruiting,AWS; Azure; SAP; Python; embedded Linux; SIEM,"Build connected vehicle platforms, secure automotive software supply chains, and digitize manufacturing.",Software Engineer; Cybersecurity Analyst; Data Analyst; Cloud Engineer; Business Systems Analyst,Plano top employer; DOL/USCIS validation needed for sponsor evidence H-1B employer signal confidence 3/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://careers.toyota.com,https://pressroom.toyota.com,https://careers.toyota.com/us/en/technology-data-analytics,https://www.dol.gov/agencies/eta/foreign-labor"
C008,AT&T,Telecom + Cloud + Security,Dallas HQ,Dallas / Plano / Irving,AT&T (Dallas / Plano / Irving): 5G and fiber expansion; network cloudification; AI-driven operations. DFW presence supports technology hiring in target role families.,NFV;SDN;edge computing;OSS/BSS modernization,5G and fiber expansion; network cloudification; AI-driven operations,Role location verification; competitive hiring; sponsorship varies by team,Texas top H-1B employer list; DFW HQ/major presence,Tier 1 - attack first,2026-07-04,"Connectivity and media revenue from wireless, fiber, enterprise services, and network infrastructure.",Consumer mobility; business wireline; network operations; technology labs,5G and fiber expansion; network cloudification; AI-driven operations,NFV; SDN; edge computing; OSS/BSS modernization,Network security; IAM; telemetry analytics; AI ops,Network modernization; AI-driven operations; DFW technology hiring,Kubernetes; Python; Splunk; cloud platforms; network automation,"Modernize core network, automate operations, and secure large-scale consumer and enterprise services.",Network Engineer; Cloud Analyst; Security Engineer; Data Analyst; Operations Technology Analyst,Texas top H-1B employer list; DFW HQ/major presence H-1B employer signal confidence 5/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://www.att.jobs,https://about.att.com/newsroom,https://about.att.com/innovation,https://www.dol.gov/agencies/eta/foreign-labor"
C009,Ericsson,Telecom Infrastructure,Stockholm / Plano,Plano,Ericsson (Plano): 5G and fiber expansion; network cloudification; AI-driven operations. DFW presence supports technology hiring in target role families.,NFV;SDN;edge computing;OSS/BSS modernization,5G and fiber expansion; network cloudification; AI-driven operations,Role location verification; competitive hiring; sponsorship varies by team,Texas top H-1B employer list; Plano top employer,Tier 1 - attack first,2026-07-04,"Connectivity and media revenue from wireless, fiber, enterprise services, and network infrastructure.",Consumer mobility; business wireline; network operations; technology labs,5G and fiber expansion; network cloudification; AI-driven operations,NFV; SDN; edge computing; OSS/BSS modernization,Network security; IAM; telemetry analytics; AI ops,5G utilities innovation; AI and IoT internships; Open positions portal,Kubernetes; Python; Splunk; cloud platforms; network automation,"Modernize core network, automate operations, and secure large-scale consumer and enterprise services.",Network Engineer; Cloud Analyst; Security Engineer; Data Analyst; Operations Technology Analyst,Texas top H-1B employer list; Plano top employer H-1B employer signal confidence 5/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://jobs.ericsson.com/careers,https://www.ericsson.com/en/news,https://www.ericsson.com/en/blog,https://www.dol.gov/agencies/eta/foreign-labor"
C010,NTT DATA,IT Services + Consulting,Tokyo / Plano,Plano / Dallas,NTT DATA (Plano / Dallas): AI-led modernization; cloud-native delivery; industry-specific platforms. DFW presence supports technology hiring in target role families.,Hybrid cloud;DevOps;microservices;data engineering,AI-led modernization; cloud-native delivery; industry-specific platforms,Role location verification; competitive hiring; sponsorship varies by team,Texas top H-1B employer list; Plano top employer,Tier 1 - attack first,2026-07-04,"IT services and outsourcing revenue from application development, cloud migration, and managed services for enterprise clients.",Digital engineering; cloud; data and AI; enterprise applications; consulting,AI-led modernization; cloud-native delivery; industry-specific platforms,Hybrid cloud; DevOps; microservices; data engineering,ML ops; cloud security posture; automation; analytics at scale,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS; Azure; Kubernetes; Java; Python; Snowflake,"Deliver client programs requiring scalable engineering, data, and security talent in DFW delivery centers.",Technology Analyst; Cloud Engineer; Data Analyst; Security Engineer; DevOps Engineer,Texas top H-1B employer list; Plano top employer H-1B employer signal confidence 5/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://careers.nttdata.com,https://www.nttdata.com/global/en/news,https://www.nttdata.com/global/en/services/data-and-intelligence,https://www.dol.gov/agencies/eta/foreign-labor"
C011,Samsung Electronics America / Samsung Austin Semiconductor,Electronics + Semiconductor,Seoul / Plano,Plano / Austin,Samsung Electronics America / Samsung Austin Semiconductor (Plano / Austin): Software-defined vehicles; EV platforms; connected mobility; supply chain digitization. DFW presence supports technology hiring in target role families.,Embedded systems;telematics;cloud data platforms;ERP,Software-defined vehicles; EV platforms; connected mobility; supply chain digitization,Role location verification; competitive hiring; sponsorship varies by team,Texas top H-1B employer list; Plano Samsung employer signal,Tier 1 - attack first,2026-07-04,Vehicle manufacturing and mobility services revenue with growing software-defined vehicle and connected services segments.,Manufacturing; connected services; finance; supply chain; enterprise IT,Software-defined vehicles; EV platforms; connected mobility; supply chain digitization,Embedded systems; telematics; cloud data platforms; ERP,Vehicle cybersecurity; predictive analytics; cloud security; IoT data,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS; Azure; SAP; Python; embedded Linux; SIEM,"Build connected vehicle platforms, secure automotive software supply chains, and digitize manufacturing.",Software Engineer; Cybersecurity Analyst; Data Analyst; Cloud Engineer; Business Systems Analyst,Texas top H-1B employer list; Plano Samsung employer signal H-1B employer signal confidence 5/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://www.samsung.com/us/careers/,https://news.samsung.com/us,https://research.samsung.com,https://www.dol.gov/agencies/eta/foreign-labor"
C012,KPMG,Consulting + Risk + Cyber,Global / Dallas,Dallas,KPMG (Dallas): Client digital transformation; cloud migration; cyber resilience; AI advisory. DFW presence supports technology hiring in target role families.,Cloud platforms;ERP modernization;data analytics;agile delivery,Client digital transformation; cloud migration; cyber resilience; AI advisory,Role location verification; competitive hiring; sponsorship varies by team,Texas top H-1B employer list,Tier 1 - attack first,2026-07-04,"Professional services revenue from client engagements across strategy, technology implementation, audit, and risk advisory.",Consulting; advisory; audit; tax; technology delivery practices,Client digital transformation; cloud migration; cyber resilience; AI advisory,Cloud platforms; ERP modernization; data analytics; agile delivery,GenAI governance; cloud security; data mesh; identity management,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS; Azure; GCP; Salesforce; SAP; Python; Power BI,Staff client-facing delivery teams for enterprise transformation and managed security programs.,Technology Consultant; Cloud Analyst; Cybersecurity Analyst; Data Analyst; Platform Engineer,Texas top H-1B employer list H-1B employer signal confidence 5/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://www.kpmg.com/us/en/careers.html,https://kpmg.com/us/en/media/news.html,https://kpmg.com/us/en/capabilities-services/advisory-services/technology.html,https://www.dol.gov/agencies/eta/foreign-labor"
C013,Deloitte,Consulting + Technology,Global / Dallas,Dallas,Deloitte (Dallas): Client digital transformation; cloud migration; cyber resilience; AI advisory. DFW presence supports technology hiring in target role families.,Cloud platforms;ERP modernization;data analytics;agile delivery,Client digital transformation; cloud migration; cyber resilience; AI advisory,Role location verification; competitive hiring; sponsorship varies by team,Large DFW consulting presence; DOL/USCIS verification needed,Tier 1 - attack first,2026-07-04,"Professional services revenue from client engagements across strategy, technology implementation, audit, and risk advisory.",Consulting; advisory; audit; tax; technology delivery practices,Client digital transformation; cloud migration; cyber resilience; AI advisory,Cloud platforms; ERP modernization; data analytics; agile delivery,GenAI governance; cloud security; data mesh; identity management,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS; Azure; GCP; Salesforce; SAP; Python; Power BI,Staff client-facing delivery teams for enterprise transformation and managed security programs.,Technology Consultant; Cloud Analyst; Cybersecurity Analyst; Data Analyst; Platform Engineer,Large DFW consulting presence; DOL/USCIS verification needed H-1B employer signal confidence 4/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://apply.deloitte.com,https://www2.deloitte.com/us/en/pages/about-deloitte/articles/press-releases.html,https://www2.deloitte.com/us/en/pages/technology/articles/deloitte-on-technology.html,https://www.dol.gov/agencies/eta/foreign-labor"
C014,Accenture,Technology Consulting,Global / Dallas,Dallas,Accenture (Dallas): Client digital transformation; cloud migration; cyber resilience; AI advisory. DFW presence supports technology hiring in target role families.,Cloud platforms;ERP modernization;data analytics;agile delivery,Client digital transformation; cloud migration; cyber resilience; AI advisory,Role location verification; competitive hiring; sponsorship varies by team,Major H-1B employer historically; DOL/USCIS verification needed for Dallas,Tier 1 - attack first,2026-07-04,"Professional services revenue from client engagements across strategy, technology implementation, audit, and risk advisory.",Consulting; advisory; audit; tax; technology delivery practices,Client digital transformation; cloud migration; cyber resilience; AI advisory,Cloud platforms; ERP modernization; data analytics; agile delivery,GenAI governance; cloud security; data mesh; identity management,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS; Azure; GCP; Salesforce; SAP; Python; Power BI,Staff client-facing delivery teams for enterprise transformation and managed security programs.,Technology Consultant; Cloud Analyst; Cybersecurity Analyst; Data Analyst; Platform Engineer,Major H-1B employer historically; DOL/USCIS verification needed for Dallas H-1B employer signal confidence 4/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://www.accenture.com/us-en/careers,https://newsroom.accenture.com,https://www.accenture.com/us-en/services/cloud,https://www.dol.gov/agencies/eta/foreign-labor"
C015,Cognizant,IT Services + AI Builder,Global / DFW,DFW / Texas client sites,Cognizant (DFW / Texas client sites): AI-led modernization; cloud-native delivery; industry-specific platforms. DFW presence supports technology hiring in target role families.,Hybrid cloud;DevOps;microservices;data engineering,AI-led modernization; cloud-native delivery; industry-specific platforms,Role location verification; competitive hiring; sponsorship varies by team,Texas #1 H-1B employer in cited list,Tier 1 - attack first,2026-07-04,"IT services and outsourcing revenue from application development, cloud migration, and managed services for enterprise clients.",Digital engineering; cloud; data and AI; enterprise applications; consulting,AI-led modernization; cloud-native delivery; industry-specific platforms,Hybrid cloud; DevOps; microservices; data engineering,ML ops; cloud security posture; automation; analytics at scale,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS; Azure; Kubernetes; Java; Python; Snowflake,"Deliver client programs requiring scalable engineering, data, and security talent in DFW delivery centers.",Technology Analyst; Cloud Engineer; Data Analyst; Security Engineer; DevOps Engineer,Texas #1 H-1B employer in cited list H-1B employer signal confidence 5/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://careers.cognizant.com,https://news.cognizant.com,https://www.cognizant.com/us/en/services/cloud-solutions,https://www.dol.gov/agencies/eta/foreign-labor"
C016,Infosys,IT Services + Consulting,India / Richardson,Richardson / Texas client sites,Infosys (Richardson / Texas client sites): AI-led modernization; cloud-native delivery; industry-specific platforms. DFW presence supports technology hiring in target role families.,Hybrid cloud;DevOps;microservices;data engineering,AI-led modernization; cloud-native delivery; industry-specific platforms,Role location verification; competitive hiring; sponsorship varies by team,Texas #2 H-1B employer in cited list,Tier 1 - attack first,2026-07-04,"IT services and outsourcing revenue from application development, cloud migration, and managed services for enterprise clients.",Digital engineering; cloud; data and AI; enterprise applications; consulting,AI-led modernization; cloud-native delivery; industry-specific platforms,Hybrid cloud; DevOps; microservices; data engineering,ML ops; cloud security posture; automation; analytics at scale,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS; Azure; Kubernetes; Java; Python; Snowflake,"Deliver client programs requiring scalable engineering, data, and security talent in DFW delivery centers.",Technology Analyst; Cloud Engineer; Data Analyst; Security Engineer; DevOps Engineer,Texas #2 H-1B employer in cited list H-1B employer signal confidence 5/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://careers.infosys.com,https://www.infosys.com/newsroom.html,https://www.infosys.com/services/cloud-computing.html,https://www.dol.gov/agencies/eta/foreign-labor"
