job_id,company_id,company_name,title,location,role_cluster,priority_tier,business_problem,description,keywords_hint,status
J0001,C001,JPMorgan Chase,AI Automation Analyst,Plano / Dallas,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,"Bank is pushing AI productivity and has large DFW tech headcount; roles exist around platform modernization, controls, automation, and data systems.","We are seeking a AI Automation Analyst to support Bank is pushing AI productivity and has large DFW tech headcount; roles exist around platform modernization, controls, automation, and data systems.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0002,C001,JPMorgan Chase,Technology Analyst,Plano / Dallas,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,data pipeline reliability and audit readiness,"Join our Technology Analyst team driving data pipeline reliability and audit readiness. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0003,C001,JPMorgan Chase,Cloud Security Analyst,Plano / Dallas,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,AI automation governance and measurable outcomes,"The Cloud Security Analyst role addresses AI automation governance and measurable outcomes across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,applied
J0004,C002,Goldman Sachs,Security Engineer,Dallas,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,"Dallas campus expansion and AI-driven finance workflows create demand for engineering, data, and operational risk talent.","We are seeking a Security Engineer to support Dallas campus expansion and AI-driven finance workflows create demand for engineering, data, and operational risk talent.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0005,C002,Goldman Sachs,Business Systems Analyst,Dallas,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,AI-driven workflow productivity and controls,"Join our Business Systems Analyst team driving AI-driven workflow productivity and controls. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0006,C002,Goldman Sachs,Operations Technology Analyst,Dallas,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,AI automation governance and measurable outcomes,"The Operations Technology Analyst role addresses AI automation governance and measurable outcomes across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,contacted
J0007,C003,Bank of America,Security Engineer,Dallas,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,"New Dallas campus and large DFW workforce suggest recurring technology, risk, and operations hiring.","We are seeking a Security Engineer to support New Dallas campus and large DFW workforce suggest recurring technology, risk, and operations hiring.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,contacted
J0008,C003,Bank of America,Platform Engineer,Dallas,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,AI-driven workflow productivity and controls,"Join our Platform Engineer team driving AI-driven workflow productivity and controls. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,applied
J0009,C003,Bank of America,Technology Risk Analyst,Dallas,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,enterprise IAM and zero-trust implementation,"The Technology Risk Analyst role addresses enterprise IAM and zero-trust implementation across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,contacted
J0010,C004,Citi,Security Engineer,Irving,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,"Irving campus spans technology, global functions, services, and private bank; roles likely tied to risk, platform modernization, and operations.","We are seeking a Security Engineer to support Irving campus spans technology, global functions, services, and private bank; roles likely tied to risk, platform modernization, and operations.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0011,C004,Citi,AI Automation Analyst,Irving,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,data pipeline reliability and audit readiness,"Join our AI Automation Analyst team driving data pipeline reliability and audit readiness. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0012,C004,Citi,Security Engineer,Irving,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,platform modernization and secure automation,"The Security Engineer role addresses platform modernization and secure automation across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,contacted
J0013,C005,Charles Schwab,Cloud Analyst,Westlake / DFW,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,Large Westlake HQ and finance-platform modernization create steady tech and risk needs.,"We are seeking a Cloud Analyst to support Large Westlake HQ and finance-platform modernization create steady tech and risk needs.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0014,C005,Charles Schwab,Data Engineer,Westlake / DFW,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,AI automation governance and measurable outcomes,"Join our Data Engineer team driving AI automation governance and measurable outcomes. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0015,C005,Charles Schwab,Data Analyst,Westlake / DFW,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,AI automation governance and measurable outcomes,"The Data Analyst role addresses AI automation governance and measurable outcomes across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,applied
J0016,C006,Capital One,Data Analyst,Plano,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,Plano is a top employment hub; Capital One is cloud/data-heavy and fits MIS + cloud/cyber profile.,"We are seeking a Data Analyst to support Plano is a top employment hub; Capital One is cloud/data-heavy and fits MIS + cloud/cyber profile.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0017,C006,Capital One,Cloud Security Analyst,Plano,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,cloud security monitoring and incident response,"Join our Cloud Security Analyst team driving cloud security monitoring and incident response. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0018,C006,Capital One,Technology Risk Analyst,Plano,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,AI automation governance and measurable outcomes,"The Technology Risk Analyst role addresses AI automation governance and measurable outcomes across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0019,C007,Toyota Motor North America,Cybersecurity Analyst,Plano,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,"Auto platforms generate demand for data, cloud, cybersecurity, and enterprise systems.","We are seeking a Cybersecurity Analyst to support Auto platforms generate demand for data, cloud, cybersecurity, and enterprise systems.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,contacted
J0020,C007,Toyota Motor North America,Cloud Security Analyst,Plano,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,platform modernization and secure automation,"Join our Cloud Security Analyst team driving platform modernization and secure automation. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0021,C007,Toyota Motor North America,Cloud Security Analyst,Plano,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,AI-driven workflow productivity and controls,"The Cloud Security Analyst role addresses AI-driven workflow productivity and controls across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0022,C008,AT&T,Operations Technology Analyst,Dallas / Plano / Irving,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,"Telecom modernization, network security, and AI operations create strong technical hiring themes.","We are seeking a Operations Technology Analyst to support Telecom modernization, network security, and AI operations create strong technical hiring themes.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,applied
J0023,C008,AT&T,Platform Engineer,Dallas / Plano / Irving,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,enterprise IAM and zero-trust implementation,"Join our Platform Engineer team driving enterprise IAM and zero-trust implementation. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,applied
J0024,C008,AT&T,Business Systems Analyst,Dallas / Plano / Irving,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,AI-driven workflow productivity and controls,"The Business Systems Analyst role addresses AI-driven workflow productivity and controls across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,contacted
J0025,C009,Ericsson,AI Automation Analyst,Plano,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,5G/cloud infrastructure and enterprise telecom create specialized technical roles.,"We are seeking a AI Automation Analyst to support 5G/cloud infrastructure and enterprise telecom create specialized technical roles.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0026,C009,Ericsson,Business Systems Analyst,Plano,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,technology risk controls and GRC evidence,"Join our Business Systems Analyst team driving technology risk controls and GRC evidence. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,applied
J0027,C009,Ericsson,Cybersecurity Analyst,Plano,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,AI automation governance and measurable outcomes,"The Cybersecurity Analyst role addresses AI automation governance and measurable outcomes across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,contacted
J0028,C010,NTT DATA,Technology Risk Analyst,Plano / Dallas,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,Consulting delivery and enterprise modernization create many matching roles; verify client-site nature.,"We are seeking a Technology Risk Analyst to support Consulting delivery and enterprise modernization create many matching roles; verify client-site nature.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0029,C010,NTT DATA,Platform Engineer,Plano / Dallas,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,risk management and operational data visibility,"Join our Platform Engineer team driving risk management and operational data visibility. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0030,C010,NTT DATA,Platform Engineer,Plano / Dallas,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,AI automation governance and measurable outcomes,"The Platform Engineer role addresses AI automation governance and measurable outcomes across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,applied
J0031,C011,Samsung Electronics America / Samsung Austin Semiconductor,Technology Analyst,Plano / Austin,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,"Semiconductor/electronics operations require analytics, systems, and security talent.","We are seeking a Technology Analyst to support Semiconductor/electronics operations require analytics, systems, and security talent.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0032,C011,Samsung Electronics America / Samsung Austin Semiconductor,Cybersecurity Analyst,Plano / Austin,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,AI-driven workflow productivity and controls,"Join our Cybersecurity Analyst team driving AI-driven workflow productivity and controls. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0033,C011,Samsung Electronics America / Samsung Austin Semiconductor,Operations Technology Analyst,Plano / Austin,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,data pipeline reliability and audit readiness,"The Operations Technology Analyst role addresses data pipeline reliability and audit readiness across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0034,C012,KPMG,Data Analyst,Dallas,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,"Client risk, compliance, cyber, and AI governance demand aligns with MIS/cloud/cyber profile.","We are seeking a Data Analyst to support Client risk, compliance, cyber, and AI governance demand aligns with MIS/cloud/cyber profile.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0035,C012,KPMG,Platform Engineer,Dallas,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,AI-driven workflow productivity and controls,"Join our Platform Engineer team driving AI-driven workflow productivity and controls. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,applied
J0036,C012,KPMG,Business Systems Analyst,Dallas,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,AI automation governance and measurable outcomes,"The Business Systems Analyst role addresses AI automation governance and measurable outcomes across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,applied
J0037,C013,Deloitte,Technology Risk Analyst,Dallas,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,"Consulting projects create recurring demand, but sponsorship/role location varies by practice.","We are seeking a Technology Risk Analyst to support Consulting projects create recurring demand, but sponsorship/role location varies by practice.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0038,C013,Deloitte,Technology Risk Analyst,Dallas,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,AI automation governance and measurable outcomes,"Join our Technology Risk Analyst team driving AI automation governance and measurable outcomes. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,open
J0039,C013,Deloitte,Data Analyst,Dallas,Cloud / Security / Data / AI / Analyst,Tier 1 - attack first,data pipeline reliability and audit readiness,"The Data Analyst role addresses data pipeline reliability and audit readiness across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",Python; SQL; AWS/Azure/GCP; IAM; SIEM; Splunk; Kubernetes; Docker; Terraform; Agile; Jira; risk controls; data pipelines; AI automation; incident response,applied
