queue_id,company_id,person_id,person_name,person_type,channel,message_type,message_draft,engagement_level,hook_id,status,next_action,scheduled_date,sent_date,notes
OQ-001,C001,nan,[Search: recruiter #1],recruiter,linkedin,comment_on_post,Strong perspective on Software Engineering. I build similar governed automation patterns in DFW — especially around audit-ready controls and measurable outcomes. Would enjoy learning how JPMorgan Chase approaches this at scale.,3,HK-DS-C001-01,draft,Review and approve before sending,2026-07-07,,Demand-first draft for recruiter_1
OQ-002,C001,nan,[Search: recruiter #1],recruiter,linkedin,connection_request,"Hi — I'm Abhishek, a DFW-based enterprise technology analyst (UNT MIS) focused on Enterprise Technology Analyst — AI Automation, Cloud Security & Data Analytics. I saw Software Engineer Program — Plano TX and thought it connected to work I've done on decision systems and secure automation. Would value connecting.",3,HK-DS-C001-01,draft,Review and approve before sending,2026-07-07,,Demand-first draft for recruiter_1
OQ-003,C001,nan,[Search: recruiter #1],recruiter,linkedin,dm_after_connection,Thanks for connecting. I noticed JPMorgan Chase's work on Software Engineering — I recently built Career Intelligence OS (role-fit + proof-matching dashboard) and a Secure Cloud Evidence Lab covering IAM/SIEM. Happy to share a 2-min walkthrough if useful for your recruiter network.,3,HK-DS-C001-01,draft,Review and approve before sending,2026-07-07,,Demand-first draft for recruiter_1
OQ-004,C001,nan,[Search: recruiter #2],recruiter,linkedin,comment_on_post,Strong perspective on Software Engineering / Data Science. I build similar governed automation patterns in DFW — especially around audit-ready controls and measurable outcomes. Would enjoy learning how JPMorgan Chase approaches this at scale.,3,HK-DS-C001-04,draft,Review and approve before sending,2026-07-07,,Demand-first draft for recruiter_2
OQ-005,C001,nan,[Search: recruiter #2],recruiter,linkedin,connection_request,"Hi — I'm Abhishek, a DFW-based enterprise technology analyst (UNT MIS) focused on Enterprise Technology Analyst — AI Automation, Cloud Security & Data Analytics. I saw High-powered tech careers portal and thought it connected to work I've done on decision systems and secure automation. Would value connecting.",3,HK-DS-C001-04,draft,Review and approve before sending,2026-07-07,,Demand-first draft for recruiter_2
OQ-006,C001,nan,[Search: recruiter #2],recruiter,linkedin,dm_after_connection,Thanks for connecting. I noticed JPMorgan Chase's work on Software Engineering / Data Science — I recently built Career Intelligence OS (role-fit + proof-matching dashboard) and a Secure Cloud Evidence Lab covering IAM/SIEM. Happy to share a 2-min walkthrough if useful for your recruiter network.,3,HK-DS-C001-04,draft,Review and approve before sending,2026-07-07,,Demand-first draft for recruiter_2
OQ-007,C001,nan,[Search: recruiter #3],recruiter,linkedin,comment_on_post,Strong perspective on Software Engineering. I build similar governed automation patterns in DFW — especially around audit-ready controls and measurable outcomes. Would enjoy learning how JPMorgan Chase approaches this at scale.,3,HK-DS-C001-01,draft,Review and approve before sending,2026-07-07,,Demand-first draft for recruiter_3
OQ-008,C001,nan,[Search: recruiter #3],recruiter,linkedin,connection_request,"Hi — I'm Abhishek, a DFW-based enterprise technology analyst (UNT MIS) focused on Enterprise Technology Analyst — AI Automation, Cloud Security & Data Analytics. I saw Software Engineer Program — Plano TX and thought it connected to work I've done on decision systems and secure automation. Would value connecting.",3,HK-DS-C001-01,draft,Review and approve before sending,2026-07-07,,Demand-first draft for recruiter_3
OQ-009,C001,nan,[Search: recruiter #3],recruiter,linkedin,dm_after_connection,Thanks for connecting. I noticed JPMorgan Chase's work on Software Engineering — I recently built Career Intelligence OS (role-fit + proof-matching dashboard) and a Secure Cloud Evidence Lab covering IAM/SIEM. Happy to share a 2-min walkthrough if useful for your recruiter network.,3,HK-DS-C001-01,draft,Review and approve before sending,2026-07-07,,Demand-first draft for recruiter_3
OQ-010,C001,nan,[Search: hiring manager #1],hiring_manager,linkedin,comment_on_post,Strong perspective on Software Engineering / Data Science. I build similar governed automation patterns in DFW — especially around audit-ready controls and measurable outcomes. Would enjoy learning how JPMorgan Chase approaches this at scale.,5,HK-DS-C001-04,draft,Review and approve before sending,2026-07-07,,Demand-first draft for hiring_manager_1
OQ-011,C001,nan,[Search: hiring manager #1],hiring_manager,linkedin,connection_request,"Hi — I'm Abhishek, a DFW-based enterprise technology analyst (UNT MIS) focused on Enterprise Technology Analyst — AI Automation, Cloud Security & Data Analytics. I saw High-powered tech careers portal and thought it connected to work I've done on decision systems and secure automation. Would value connecting.",5,HK-DS-C001-04,draft,Review and approve before sending,2026-07-07,,Demand-first draft for hiring_manager_1
OQ-012,C001,nan,[Search: hiring manager #1],hiring_manager,linkedin,dm_after_connection,Thanks for connecting. I noticed JPMorgan Chase's work on Software Engineering / Data Science — I recently built Career Intelligence OS (role-fit + proof-matching dashboard) and a Secure Cloud Evidence Lab covering IAM/SIEM. Happy to share a 2-min walkthrough if useful for your hiring manager network.,5,HK-DS-C001-04,draft,Review and approve before sending,2026-07-07,,Demand-first draft for hiring_manager_1
OQ-013,C001,nan,[Search: hiring manager #2],hiring_manager,linkedin,comment_on_post,Strong perspective on Software Engineering. I build similar governed automation patterns in DFW — especially around audit-ready controls and measurable outcomes. Would enjoy learning how JPMorgan Chase approaches this at scale.,5,HK-DS-C001-01,draft,Review and approve before sending,2026-07-07,,Demand-first draft for hiring_manager_2
OQ-014,C001,nan,[Search: hiring manager #2],hiring_manager,linkedin,connection_request,"Hi — I'm Abhishek, a DFW-based enterprise technology analyst (UNT MIS) focused on Enterprise Technology Analyst — AI Automation, Cloud Security & Data Analytics. I saw Software Engineer Program — Plano TX and thought it connected to work I've done on decision systems and secure automation. Would value connecting.",5,HK-DS-C001-01,draft,Review and approve before sending,2026-07-07,,Demand-first draft for hiring_manager_2
OQ-015,C001,nan,[Search: hiring manager #2],hiring_manager,linkedin,dm_after_connection,Thanks for connecting. I noticed JPMorgan Chase's work on Software Engineering — I recently built Career Intelligence OS (role-fit + proof-matching dashboard) and a Secure Cloud Evidence Lab covering IAM/SIEM. Happy to share a 2-min walkthrough if useful for your hiring manager network.,5,HK-DS-C001-01,draft,Review and approve before sending,2026-07-07,,Demand-first draft for hiring_manager_2
