card_id,job_id,company_id,company_name,job_title,person_id,person_name,contact_type,pipeline_stage,priority_score,fit_score,company_priority_score,sponsorship_score,proof_score,people_verification_score,urgency_score,recommendation_action,next_action,proof_asset_id,proof_asset_title,follow_up_date,last_updated,data_confidence,blocked_reason,notes
PC-J0007,J0007,C003,Bank of America,Security Engineer,,TBD,recruiter,Person Verification,81.3,91.3,75.2,89.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0004,J0004,C002,Goldman Sachs,Security Engineer,,TBD,recruiter,Person Verification,80.8,91.3,75.2,86.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0001,J0001,C001,JPMorgan Chase,AI Automation Analyst,P002,TBD Hiring Manager,hiring_manager,Person Verification,80.1,91.3,75.2,81.0,100,15.0,90,network first,Verify hiring_manager contact via public sources before outreach,PA004,Secure Cloud Evidence Lab,,2026-07-04,source_backed,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0005,J0005,C002,Goldman Sachs,Business Systems Analyst,,TBD,recruiter,Person Verification,79.8,84.5,75.2,86.0,100,15.0,100,apply now,Verify recruiter contact via public sources before outreach,PA002,Career Intelligence OS Case Study,,2026-07-04,stale,Contact not verified,Strong role fit and company priority — move quickly.
PC-J0059,J0059,C024,McKesson,Data Analyst,P030,TBD Hiring Manager,hiring_manager,Person Verification,78.7,94.7,75.2,65.0,100,15.0,90,network first,Verify hiring_manager contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0010,J0010,C004,Citi,Security Engineer,P006,TBD Hiring Manager,hiring_manager,Person Verification,77.9,91.3,72.8,70.0,100,15.0,90,network first,Verify hiring_manager contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,source_backed,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0060,J0060,C024,McKesson,Security Engineer,P030,TBD Hiring Manager,hiring_manager,Person Verification,77.9,88.6,75.2,65.0,100,15.0,100,apply now,Verify hiring_manager contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Strong role fit and company priority — move quickly.
PC-J0008,J0008,C003,Bank of America,Platform Engineer,,TBD,recruiter,Person Verification,77.8,84.5,75.2,73.0,100,15.0,100,apply now,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Strong role fit and company priority — move quickly.
PC-J0031,J0031,C012,KPMG,Data Analyst,,TBD,recruiter,Person Verification,77.8,94.7,64.8,73.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0038,J0038,C015,Cognizant,Operations Technology Analyst,,TBD,recruiter,Person Verification,77.8,94.7,64.8,73.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0056,J0056,C023,Southwest Airlines,Technology Risk Analyst,,TBD,recruiter,Person Verification,77.7,91.3,75.2,65.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0018,J0018,C007,Toyota Motor North America,Cybersecurity Analyst,P012,TBD Hiring Manager,hiring_manager,Person Verification,77.2,91.3,72.8,65.0,100,15.0,90,network first,Verify hiring_manager contact via public sources before outreach,PA004,Secure Cloud Evidence Lab,,2026-07-04,source_backed,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0002,J0002,C001,JPMorgan Chase,Technology Analyst,P002,TBD Hiring Manager,hiring_manager,Person Verification,77.1,82.0,75.2,73.0,100,15.0,100,apply now,Verify hiring_manager contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,source_backed,Contact not verified,Strong role fit and company priority — move quickly.
PC-J0024,J0024,C009,Ericsson,Business Systems Analyst,,TBD,recruiter,Person Verification,77.0,88.6,64.8,73.0,100,15.0,100,apply now,Verify recruiter contact via public sources before outreach,PA002,Career Intelligence OS Case Study,,2026-07-04,stale,Contact not verified,Strong role fit and company priority — move quickly.
PC-J0012,J0012,C005,Charles Schwab,Cloud Analyst,,TBD,recruiter,Person Verification,76.8,91.3,64.8,73.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0020,J0020,C008,AT&T,Operations Technology Analyst,P015,TBD Hiring Manager,hiring_manager,Person Verification,76.8,91.3,64.8,73.0,100,15.0,90,network first,Verify hiring_manager contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,source_backed,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0023,J0023,C009,Ericsson,AI Automation Analyst,,TBD,recruiter,Person Verification,76.8,91.3,64.8,73.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0028,J0028,C011,Samsung Electronics America / Samsung Austin Semiconductor,Technology Analyst,,TBD,recruiter,Person Verification,76.8,91.3,64.8,73.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0041,J0041,C016,Infosys,Operations Technology Analyst,,TBD,recruiter,Person Verification,76.8,91.3,64.8,73.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0053,J0053,C022,American Airlines,Cybersecurity Analyst,P027,TBD Hiring Manager,hiring_manager,Person Verification,76.8,91.3,64.8,73.0,100,15.0,90,network first,Verify hiring_manager contact via public sources before outreach,PA004,Secure Cloud Evidence Lab,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0052,J0052,C021,Texas Instruments,AI Automation Analyst,,TBD,recruiter,Person Verification,76.5,88.6,62.2,73.0,100,15.0,100,apply now,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Strong role fit and company priority — move quickly.
PC-J0026,J0026,C010,NTT DATA,Technology Risk Analyst,P018,TBD Hiring Manager,hiring_manager,Person Verification,76.3,91.3,62.2,73.0,100,15.0,90,network first,Verify hiring_manager contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0034,J0034,C013,Deloitte,Technology Risk Analyst,P021,TBD Hiring Manager,hiring_manager,Person Verification,76.3,91.3,62.2,73.0,100,15.0,90,network first,Verify hiring_manager contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0036,J0036,C014,Accenture,Cloud Security Analyst,,TBD,recruiter,Person Verification,76.3,91.3,62.2,73.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA004,Secure Cloud Evidence Lab,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0051,J0051,C021,Texas Instruments,Cloud Analyst,,TBD,recruiter,Person Verification,76.3,91.3,62.2,73.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0011,J0011,C004,Citi,AI Automation Analyst,P006,TBD Hiring Manager,hiring_manager,Person Verification,76.2,82.0,72.8,70.0,100,15.0,100,apply now,Verify hiring_manager contact via public sources before outreach,PA004,Secure Cloud Evidence Lab,,2026-07-04,source_backed,Contact not verified,Strong role fit and company priority — move quickly.
PC-J0086,J0086,C037,Morgan Stanley,Data Analyst,,TBD,recruiter,Person Verification,76.0,91.3,61.0,73.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0088,J0088,C038,Nasdaq,Cybersecurity Analyst,,TBD,recruiter,Person Verification,76.0,91.3,61.0,73.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA004,Secure Cloud Evidence Lab,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0084,J0084,C036,Wells Fargo,Data Engineer,,TBD,recruiter,Person Verification,75.9,94.7,61.0,65.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0029,J0029,C011,Samsung Electronics America / Samsung Austin Semiconductor,Cybersecurity Analyst,,TBD,recruiter,Person Verification,75.8,84.5,64.8,73.0,100,15.0,100,apply now,Verify recruiter contact via public sources before outreach,PA004,Secure Cloud Evidence Lab,,2026-07-04,stale,Contact not verified,Strong role fit and company priority — move quickly.
PC-J0032,J0032,C012,KPMG,Platform Engineer,,TBD,recruiter,Person Verification,75.8,84.5,64.8,73.0,100,15.0,100,apply now,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Strong role fit and company priority — move quickly.
PC-J0015,J0015,C006,Capital One,Data Analyst,P009,TBD Hiring Manager,hiring_manager,Person Verification,75.6,91.3,64.8,65.0,100,15.0,90,network first,Verify hiring_manager contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,source_backed,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0083,J0083,C035,PepsiCo / Frito-Lay,Security Engineer,,TBD,recruiter,Person Verification,75.3,88.6,62.2,65.0,100,15.0,100,apply now,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Strong role fit and company priority — move quickly.
PC-J0046,J0046,C018,Tesla,Data Analyst,,TBD,recruiter,Person Verification,75.2,94.7,51.8,73.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0064,J0064,C026,Lockheed Martin,Cloud Security Analyst,,TBD,recruiter,Person Verification,75.1,91.3,62.2,65.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA004,Secure Cloud Evidence Lab,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0066,J0066,C027,Raytheon / RTX,Data Engineer,,TBD,recruiter,Person Verification,75.1,91.3,62.2,65.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0070,J0070,C029,GM Financial,Cloud Analyst,,TBD,recruiter,Person Verification,75.1,91.3,62.2,65.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0072,J0072,C030,Sabre,Cloud Security Analyst,,TBD,recruiter,Person Verification,75.1,91.3,62.2,65.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA004,Secure Cloud Evidence Lab,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0074,J0074,C031,Alkami Technology,Data Analyst,,TBD,recruiter,Person Verification,75.1,91.3,62.2,65.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0076,J0076,C032,Tyler Technologies,Data Analyst,,TBD,recruiter,Person Verification,75.1,91.3,62.2,65.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0078,J0078,C033,State Farm,Data Engineer,,TBD,recruiter,Person Verification,75.1,91.3,62.2,65.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0080,J0080,C034,Liberty Mutual,Data Engineer,,TBD,recruiter,Person Verification,75.1,91.3,62.2,65.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0082,J0082,C035,PepsiCo / Frito-Lay,Data Engineer,,TBD,recruiter,Person Verification,75.1,91.3,62.2,65.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0042,J0042,C016,Infosys,Technology Analyst,,TBD,recruiter,Person Verification,75.0,82.0,64.8,73.0,100,15.0,100,apply now,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Strong role fit and company priority — move quickly.
PC-J0073,J0073,C030,Sabre,Technology Risk Analyst,,TBD,recruiter,Person Verification,75.0,87.8,62.2,65.0,100,15.0,100,apply now,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Strong role fit and company priority — move quickly.
PC-J0075,J0075,C031,Alkami Technology,Technology Risk Analyst,,TBD,recruiter,Person Verification,75.0,87.8,62.2,65.0,100,15.0,100,apply now,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Strong role fit and company priority — move quickly.
PC-J0090,J0090,C039,NYSE Texas / Intercontinental Exchange,Cloud Security Analyst,,TBD,recruiter,Person Verification,74.8,91.3,61.0,65.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA004,Secure Cloud Evidence Lab,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0103,J0103,C047,Jacobs Solutions,Security Engineer,,TBD,recruiter,Person Verification,74.8,91.3,61.0,65.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0050,J0050,C020,Dell Technologies / Dell USA / Dell Products,Data Engineer,,TBD,recruiter,Person Verification,74.7,94.7,49.2,73.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0102,J0102,C046,Fluor Corporation,Cloud Security Analyst,,TBD,recruiter,Person Verification,74.3,91.3,58.5,65.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA004,Secure Cloud Evidence Lab,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0105,J0105,C048,Kimberly-Clark,Operations Technology Analyst,,TBD,recruiter,Person Verification,74.3,91.3,58.5,65.0,100,15.0,90,network first,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0044,J0044,C017,Oracle,Cloud Analyst,P024,TBD Hiring Manager,hiring_manager,Person Verification,74.2,91.3,51.8,73.0,100,15.0,90,network first,Verify hiring_manager contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Good fit but warm intro will improve response rate.
PC-J0047,J0047,C018,Tesla,Technology Risk Analyst,,TBD,recruiter,Person Verification,74.2,87.8,51.8,73.0,100,15.0,100,apply now,Verify recruiter contact via public sources before outreach,PA001,Career Intelligence OS Dashboard,,2026-07-04,stale,Contact not verified,Strong role fit and company priority — move quickly.
