company,title,location,job_url,description,posted_date,role_family,visa_notes
JPMorgan Chase,AI Automation Analyst,Plano / Dallas,https://careers.jpmorgan.com/us/en/students/programs/software-engineer-summer,"We are seeking a AI Automation Analyst to support Bank is pushing AI productivity and has large DFW tech headcount; roles exist around platform modernization, controls, automation, and data systems.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-06-28,Cloud / Security / Data / AI / Analyst,"Bank is pushing AI productivity and has large DFW tech headcount; roles exist around platform modernization, controls, automation, and data systems. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
JPMorgan Chase,Technology Analyst,Plano / Dallas,https://careers.jpmorgan.com/professionals,"Join our Technology Analyst team driving data pipeline reliability and audit readiness. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-07-01,Cloud / Security / Data / AI / Analyst,"data pipeline reliability and audit readiness — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
JPMorgan Chase,Cloud Security Analyst,Plano / Dallas,https://careers.jpmorgan.com/about/technology,"The Cloud Security Analyst role addresses AI automation governance and measurable outcomes across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-07-03,Cloud / Security / Data / AI / Analyst,"AI automation governance and measurable outcomes — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Goldman Sachs,Security Engineer,Dallas,https://careers.example.com/goldman-sachs/jobs/J0004,"We are seeking a Security Engineer to support Dallas campus expansion and AI-driven finance workflows create demand for engineering, data, and operational risk talent.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-04-04,Cloud / Security / Data / AI / Analyst,"Dallas campus expansion and AI-driven finance workflows create demand for engineering, data, and operational risk talent. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Goldman Sachs,Business Systems Analyst,Dallas,https://careers.example.com/goldman-sachs/jobs/J0005,"Join our Business Systems Analyst team driving AI-driven workflow productivity and controls. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-05-05,Cloud / Security / Data / AI / Analyst,"AI-driven workflow productivity and controls — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Goldman Sachs,Operations Technology Analyst,Dallas,https://careers.example.com/goldman-sachs/jobs/J0006,"The Operations Technology Analyst role addresses AI automation governance and measurable outcomes across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-06-06,Cloud / Security / Data / AI / Analyst,"AI automation governance and measurable outcomes — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Bank of America,Security Engineer,Dallas,https://careers.example.com/bank-of-america/jobs/J0007,"We are seeking a Security Engineer to support New Dallas campus and large DFW workforce suggest recurring technology, risk, and operations hiring.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-01-07,Cloud / Security / Data / AI / Analyst,"New Dallas campus and large DFW workforce suggest recurring technology, risk, and operations hiring. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Bank of America,Platform Engineer,Dallas,https://careers.example.com/bank-of-america/jobs/J0008,"Join our Platform Engineer team driving AI-driven workflow productivity and controls. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-02-08,Cloud / Security / Data / AI / Analyst,"AI-driven workflow productivity and controls — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Bank of America,Technology Risk Analyst,Dallas,https://careers.example.com/bank-of-america/jobs/J0009,"The Technology Risk Analyst role addresses enterprise IAM and zero-trust implementation across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-03-09,Cloud / Security / Data / AI / Analyst,"enterprise IAM and zero-trust implementation — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Citi,Security Engineer,Irving,https://careers.example.com/citi/jobs/J0010,"We are seeking a Security Engineer to support Irving campus spans technology, global functions, services, and private bank; roles likely tied to risk, platform modernization, and operations.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-04-10,Cloud / Security / Data / AI / Analyst,"Irving campus spans technology, global functions, services, and private bank; roles likely tied to risk, platform modernization, and operations. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Citi,AI Automation Analyst,Irving,https://careers.example.com/citi/jobs/J0011,"Join our AI Automation Analyst team driving data pipeline reliability and audit readiness. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-05-11,Cloud / Security / Data / AI / Analyst,"data pipeline reliability and audit readiness — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Citi,Security Engineer,Irving,https://careers.example.com/citi/jobs/J0012,"The Security Engineer role addresses platform modernization and secure automation across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-06-12,Cloud / Security / Data / AI / Analyst,"platform modernization and secure automation — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Charles Schwab,Cloud Analyst,Westlake / DFW,https://careers.example.com/charles-schwab/jobs/J0013,"We are seeking a Cloud Analyst to support Large Westlake HQ and finance-platform modernization create steady tech and risk needs.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-01-13,Cloud / Security / Data / AI / Analyst,"Large Westlake HQ and finance-platform modernization create steady tech and risk needs. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Charles Schwab,Data Engineer,Westlake / DFW,https://careers.example.com/charles-schwab/jobs/J0014,"Join our Data Engineer team driving AI automation governance and measurable outcomes. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-02-14,Cloud / Security / Data / AI / Analyst,"AI automation governance and measurable outcomes — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Charles Schwab,Data Analyst,Westlake / DFW,https://careers.example.com/charles-schwab/jobs/J0015,"The Data Analyst role addresses AI automation governance and measurable outcomes across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-03-15,Cloud / Security / Data / AI / Analyst,"AI automation governance and measurable outcomes — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Capital One,Data Analyst,Plano,https://careers.example.com/capital-one/jobs/J0016,"We are seeking a Data Analyst to support Plano is a top employment hub; Capital One is cloud/data-heavy and fits MIS + cloud/cyber profile.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-04-16,Cloud / Security / Data / AI / Analyst,"Plano is a top employment hub; Capital One is cloud/data-heavy and fits MIS + cloud/cyber profile. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Capital One,Cloud Security Analyst,Plano,https://careers.example.com/capital-one/jobs/J0017,"Join our Cloud Security Analyst team driving cloud security monitoring and incident response. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-05-17,Cloud / Security / Data / AI / Analyst,"cloud security monitoring and incident response — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Capital One,Technology Risk Analyst,Plano,https://careers.example.com/capital-one/jobs/J0018,"The Technology Risk Analyst role addresses AI automation governance and measurable outcomes across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-06-18,Cloud / Security / Data / AI / Analyst,"AI automation governance and measurable outcomes — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Toyota Motor North America,Cybersecurity Analyst,Plano,https://careers.example.com/toyota-motor-north-america/jobs/J0019,"We are seeking a Cybersecurity Analyst to support Auto platforms generate demand for data, cloud, cybersecurity, and enterprise systems.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-01-19,Cloud / Security / Data / AI / Analyst,"Auto platforms generate demand for data, cloud, cybersecurity, and enterprise systems. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Toyota Motor North America,Cloud Security Analyst,Plano,https://careers.example.com/toyota-motor-north-america/jobs/J0020,"Join our Cloud Security Analyst team driving platform modernization and secure automation. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-02-20,Cloud / Security / Data / AI / Analyst,"platform modernization and secure automation — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Toyota Motor North America,Cloud Security Analyst,Plano,https://careers.example.com/toyota-motor-north-america/jobs/J0021,"The Cloud Security Analyst role addresses AI-driven workflow productivity and controls across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-03-21,Cloud / Security / Data / AI / Analyst,"AI-driven workflow productivity and controls — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
AT&T,Operations Technology Analyst,Dallas / Plano / Irving,https://careers.example.com/at&t/jobs/J0022,"We are seeking a Operations Technology Analyst to support Telecom modernization, network security, and AI operations create strong technical hiring themes.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-04-22,Cloud / Security / Data / AI / Analyst,"Telecom modernization, network security, and AI operations create strong technical hiring themes. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
AT&T,Platform Engineer,Dallas / Plano / Irving,https://careers.example.com/at&t/jobs/J0023,"Join our Platform Engineer team driving enterprise IAM and zero-trust implementation. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-05-23,Cloud / Security / Data / AI / Analyst,"enterprise IAM and zero-trust implementation — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
AT&T,Business Systems Analyst,Dallas / Plano / Irving,https://careers.example.com/at&t/jobs/J0024,"The Business Systems Analyst role addresses AI-driven workflow productivity and controls across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-06-24,Cloud / Security / Data / AI / Analyst,"AI-driven workflow productivity and controls — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Ericsson,AI Automation Analyst,Plano,https://careers.example.com/ericsson/jobs/J0025,"We are seeking a AI Automation Analyst to support 5G/cloud infrastructure and enterprise telecom create specialized technical roles.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-01-25,Cloud / Security / Data / AI / Analyst,"5G/cloud infrastructure and enterprise telecom create specialized technical roles. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Ericsson,Business Systems Analyst,Plano,https://careers.example.com/ericsson/jobs/J0026,"Join our Business Systems Analyst team driving technology risk controls and GRC evidence. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-02-26,Cloud / Security / Data / AI / Analyst,"technology risk controls and GRC evidence — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Ericsson,Cybersecurity Analyst,Plano,https://careers.example.com/ericsson/jobs/J0027,"The Cybersecurity Analyst role addresses AI automation governance and measurable outcomes across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-03-27,Cloud / Security / Data / AI / Analyst,"AI automation governance and measurable outcomes — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
NTT DATA,Technology Risk Analyst,Plano / Dallas,https://careers.example.com/ntt-data/jobs/J0028,"We are seeking a Technology Risk Analyst to support Consulting delivery and enterprise modernization create many matching roles; verify client-site nature.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-04-28,Cloud / Security / Data / AI / Analyst,"Consulting delivery and enterprise modernization create many matching roles; verify client-site nature. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
NTT DATA,Platform Engineer,Plano / Dallas,https://careers.example.com/ntt-data/jobs/J0029,"Join our Platform Engineer team driving risk management and operational data visibility. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-05-01,Cloud / Security / Data / AI / Analyst,"risk management and operational data visibility — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
NTT DATA,Platform Engineer,Plano / Dallas,https://careers.example.com/ntt-data/jobs/J0030,"The Platform Engineer role addresses AI automation governance and measurable outcomes across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-06-02,Cloud / Security / Data / AI / Analyst,"AI automation governance and measurable outcomes — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Samsung Electronics America / Samsung Austin Semiconductor,Technology Analyst,Plano / Austin,https://careers.example.com/samsung-electronics-america---samsung-au/jobs/J0031,"We are seeking a Technology Analyst to support Semiconductor/electronics operations require analytics, systems, and security talent.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-01-03,Cloud / Security / Data / AI / Analyst,"Semiconductor/electronics operations require analytics, systems, and security talent. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Samsung Electronics America / Samsung Austin Semiconductor,Cybersecurity Analyst,Plano / Austin,https://careers.example.com/samsung-electronics-america---samsung-au/jobs/J0032,"Join our Cybersecurity Analyst team driving AI-driven workflow productivity and controls. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-02-04,Cloud / Security / Data / AI / Analyst,"AI-driven workflow productivity and controls — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Samsung Electronics America / Samsung Austin Semiconductor,Operations Technology Analyst,Plano / Austin,https://careers.example.com/samsung-electronics-america---samsung-au/jobs/J0033,"The Operations Technology Analyst role addresses data pipeline reliability and audit readiness across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-03-05,Cloud / Security / Data / AI / Analyst,"data pipeline reliability and audit readiness — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
KPMG,Data Analyst,Dallas,https://careers.example.com/kpmg/jobs/J0034,"We are seeking a Data Analyst to support Client risk, compliance, cyber, and AI governance demand aligns with MIS/cloud/cyber profile.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-04-06,Cloud / Security / Data / AI / Analyst,"Client risk, compliance, cyber, and AI governance demand aligns with MIS/cloud/cyber profile. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
KPMG,Platform Engineer,Dallas,https://careers.example.com/kpmg/jobs/J0035,"Join our Platform Engineer team driving AI-driven workflow productivity and controls. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-05-07,Cloud / Security / Data / AI / Analyst,"AI-driven workflow productivity and controls — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
KPMG,Business Systems Analyst,Dallas,https://careers.example.com/kpmg/jobs/J0036,"The Business Systems Analyst role addresses AI automation governance and measurable outcomes across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-06-08,Cloud / Security / Data / AI / Analyst,"AI automation governance and measurable outcomes — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Deloitte,Technology Risk Analyst,Dallas,https://careers.example.com/deloitte/jobs/J0037,"We are seeking a Technology Risk Analyst to support Consulting projects create recurring demand, but sponsorship/role location varies by practice.. Responsibilities include building data pipelines with Python and SQL, implementing IAM controls, monitoring with SIEM/Splunk, and automating workflows. Required: Python, SQL, cloud platforms (AWS/Azure/GCP), Kubernetes, Docker, Terraform, Agile/Jira, risk controls, AI automation, incident response. Preferred: experience with data analytics dashboards and stakeholder communication.",2026-01-09,Cloud / Security / Data / AI / Analyst,"Consulting projects create recurring demand, but sponsorship/role location varies by practice. — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Deloitte,Technology Risk Analyst,Dallas,https://careers.example.com/deloitte/jobs/J0038,"Join our Technology Risk Analyst team driving AI automation governance and measurable outcomes. You will analyze operational data, design secure cloud architectures, tune SIEM detections, and partner with engineering on platform modernization. Skills: Python, SQL, IAM, SIEM, Splunk, Kubernetes, Docker, Terraform, data pipelines, AI automation, incident response, Agile delivery, business analysis.",2026-02-10,Cloud / Security / Data / AI / Analyst,"AI automation governance and measurable outcomes — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
Deloitte,Data Analyst,Dallas,https://careers.example.com/deloitte/jobs/J0039,"The Data Analyst role addresses data pipeline reliability and audit readiness across our DFW technology organization. Build automation scripts, maintain risk control evidence, support incident response, and deliver KPI dashboards. Must have Python, SQL, cloud security fundamentals, data analytics, and strong communication skills.",2026-03-11,Cloud / Security / Data / AI / Analyst,"data pipeline reliability and audit readiness — validate sponsorship via DOL/USCIS; signal only, not legal certainty."
